age,eduyrs,home,skills,daily,inc4
58,11,No,0,0,Highest
61,14,Yes,2,1,Mid-high
76,8,No,0,0,Lowest
49,11,No,2,0,Lowest
69,4,No,0,0,Lowest
45,11,Yes,3,0,Mid-low
43,11,Yes,0,0,Mid-low
51,18,Yes,5,1,Lowest
42,18,Yes,12,1,Highest
38,16,Yes,6,0,Mid-high
69,11,No,0,0,Mid-low
65,5,Yes,6,0,Lowest
27,16,Yes,6,1,Mid-high
87,10,No,0,0,Lowest
63,24,Yes,11,1,Highest
73,12,Yes,5,1,Lowest
43,16,Yes,12,1,Highest
72,11,No,0,0,Lowest
66,11,No,0,0,Lowest
41,12,Yes,6,1,Mid-low
56,11,Yes,0,1,Mid-high
35,16,Yes,12,1,Highest
68,11,Yes,999,0,Lowest
47,11,Yes,12,1,Mid-high
46,20,Yes,11,1,Mid-low
54,16,Yes,9,1,Highest
36,16,Yes,12,1,Mid-high
54,18,Yes,3,1,Mid-high
75,8,No,0,0,Lowest
33,17,Yes,12,1,Mid-high
64,5,No,0,0,Lowest
69,14,Yes,6,1,Mid-high
32,17,Yes,11,1,Mid-high
50,24,Yes,12,1,Highest
23,14,Yes,12,1,Lowest
76,7,Yes,1,0,Lowest
51,9,Yes,5,1,Highest
80,8,Yes,0,0,Lowest
70,11,Yes,0,1,Lowest
83,7,No,0,0,Lowest
67,11,Yes,0,0,Lowest
64,9,No,0,0,Lowest
42,16,Yes,11,1,Mid-high
42,16,Yes,4,0,Mid-high
35,15,Yes,6,1,Lowest
59,17,Yes,12,1,Lowest
50,11,Yes,6,0,Mid-high
37,16,Yes,6,1,Mid-low
75,17,Yes,5,0,Mid-low
75,11,No,0,0,Lowest
67,12,Yes,5,1,Mid-low
45,15,Yes,12,1,Mid-low
41,11,Yes,6,1,Highest
25,15,Yes,2,1,Mid-high
54,20,Yes,12,1,Highest
50,8,No,0,0,Lowest
54,16,Yes,9,1,Mid-high
73,7,Yes,2,1,Mid-high
61,14,No,0,0,Mid-low
61,16,Yes,9,1,Mid-low
71,11,Yes,0,0,Lowest
74,4,No,0,0,Mid-low
57,9,Yes,6,1,Mid-low
33,9,Yes,9,1,Mid-high
90,11,No,0,0,Lowest
33,13,Yes,12,1,Mid-high
61,8,No,0,0,Lowest
36,18,Yes,12,1,Highest
80,8,Yes,9,1,Lowest
48,9,Yes,9,1,Mid-high
32,9,Yes,12,1,Mid-high
32,16,Yes,12,0,Lowest
81,19,Yes,12,1,Mid-high
47,12,Yes,6,0,Mid-high
65,9,Yes,9,1,Mid-high
29,23,Yes,9,1,Mid-low
55,9,Yes,8,1,Highest
18,10,Yes,5,1,Highest
48,13,Yes,12,1,Highest
75,9,Yes,9,0,Mid-low
64,18,Yes,9,1,Highest
73,8,Yes,6,1,Mid-high
53,3,Yes,7,1,Mid-high
37,10,Yes,7,1,Mid-high
33,8,Yes,8,1,Lowest
83,9,No,0,0,Lowest
73,20,Yes,8,1,Mid-low
60,16,Yes,3,0,Lowest
69,13,Yes,12,1,Lowest
38,16,Yes,12,1,Highest
40,10,Yes,6,1,Mid-high
45,25,Yes,12,1,Highest
56,9,Yes,3,1,Lowest
45,0,Yes,0,0,Mid-low
22,11,Yes,12,1,Mid-high
51,6,Yes,6,0,Lowest
28,20,Yes,11,1,Mid-low
63,10,Yes,12,1,Mid-high
60,18,Yes,12,1,Lowest
87,10,No,0,0,Mid-low
35,16,Yes,8,1,Lowest
80,8,No,0,0,Lowest
52,14,Yes,12,1,Highest
87,8,Yes,2,0,Mid-low
26,10,Yes,9,1,Mid-low
71,10,Yes,6,1,Mid-low
41,9,Yes,6,1,Mid-high
29,12,Yes,12,1,Mid-high
70,9,Yes,2,0,Lowest
53,17,Yes,5,1,Highest
46,9,Yes,11,0,Mid-low
34,16,Yes,11,1,Highest
72,9,No,0,0,Lowest
37,16,Yes,6,1,Mid-low
75,9,No,0,0,Mid-high
79,10,Yes,6,0,Mid-low
76,4,Yes,3,0,Highest
68,9,Yes,6,1,Lowest
75,12,Yes,9,1,Mid-low
49,9,Yes,12,1,Highest
76,9,No,4,1,Mid-high
57,9,Yes,3,0,Lowest
28,20,Yes,9,1,Mid-low
39,9,Yes,9,1,Mid-low
50,9,Yes,7,1,Mid-low
57,10,Yes,8,1,Mid-high
50,13,Yes,9,1,Mid-low
29,9,Yes,12,0,Lowest
51,9,Yes,0,1,Lowest
18,12,Yes,10,1,Lowest
58,9,Yes,8,1,Mid-high
32,13,Yes,9,1,Mid-low
42,9,Yes,8,1,Mid-low
76,12,Yes,9,1,Highest
32,14,Yes,3,1,Lowest
29,9,Yes,7,1,Mid-low
55,8,Yes,3,1,Mid-high
49,9,Yes,6,1,Mid-low
67,9,Yes,12,1,Lowest
88,9,Yes,6,0,Mid-low
22,11,Yes,9,1,Mid-low
66,12,Yes,5,1,Mid-high
21,14,Yes,12,1,Mid-low
40,9,Yes,9,1,Mid-high
78,9,No,0,0,Mid-low
32,19,Yes,12,1,Mid-high
30,9,Yes,8,1,Lowest
53,16,Yes,3,1,Lowest
46,11,Yes,12,1,Highest
52,9,Yes,12,1,Highest
69,9,Yes,6,1,Mid-low
26,13,Yes,12,1,Mid-high
41,9,No,9,1,Mid-low
50,20,Yes,12,1,Mid-high
62,13,Yes,9,1,Mid-low
79,15,Yes,12,1,Mid-high
54,14,Yes,6,0,Mid-low
18,12,Yes,8,1,Mid-high
22,9,Yes,12,1,Mid-high
33,16,Yes,12,1,Highest
53,13,Yes,12,1,Mid-high
20,9,Yes,12,1,Mid-high
49,0,Yes,0,0,Lowest
70,13,Yes,9,1,Highest
54,14,Yes,6,1,Mid-low
28,20,Yes,12,1,Lowest
68,9,Yes,5,1,Lowest
28,13,Yes,12,1,Lowest
55,12,Yes,9,1,Mid-high
38,10,Yes,5,1,Mid-high
24,10,Yes,6,1,Lowest
62,9,Yes,2,1,Lowest
64,12,Yes,8,0,Highest
18,9,Yes,12,1,Mid-high
69,13,Yes,12,1,Mid-high
40,9,Yes,9,1,Mid-high
31,25,Yes,12,1,Lowest
71,0,Yes,5,1,Lowest
59,9,Yes,12,1,Mid-high
83,9,Yes,3,0,Lowest
43,10,Yes,9,1,Lowest
88,12,Yes,3,1,Mid-low
65,15,Yes,8,1,Highest
39,15,Yes,7,1,Mid-low
22,16,Yes,12,1,Highest
25,10,Yes,9,1,Mid-low
31,9,Yes,7,1,Mid-high
21,9,Yes,3,1,Lowest
41,10,Yes,9,1,Mid-high
53,10,Yes,999,1,Mid-high
56,9,Yes,5,1,Mid-low
57,18,Yes,8,1,Highest
80,10,Yes,9,0,Highest
59,16,Yes,8,1,Lowest
43,16,Yes,7,1,Mid-low
74,17,Yes,6,1,Highest
51,16,Yes,8,1,Mid-high
89,15,Yes,6,1,Mid-low
37,9,Yes,9,1,Highest
21,14,Yes,12,1,Mid-high
56,10,Yes,5,1,Mid-low
25,17,Yes,12,0,Lowest
59,9,Yes,6,1,Lowest
60,20,Yes,7,0,Mid-high
30,10,Yes,12,1,Lowest
60,15,Yes,6,1,Mid-low
50,9,Yes,9,1,Highest
53,17,Yes,7,1,Highest
73,6,Yes,2,0,Lowest
20,14,Yes,12,1,Highest
67,18,Yes,12,1,Mid-high
41,10,Yes,6,1,Highest
32,9,Yes,6,0,Mid-low
23,13,No,9,1,Highest
67,9,Yes,5,1,Mid-low
29,12,Yes,12,1,Lowest
74,13,Yes,5,1,Lowest
39,17,Yes,12,1,Mid-high
46,19,Yes,7,1,Mid-high
56,15,Yes,10,1,Highest
31,12,Yes,7,1,Highest
57,17,Yes,8,1,Highest
84,8,No,0,0,Mid-low
28,20,Yes,12,1,Highest
76,18,Yes,6,1,Mid-high
58,10,Yes,6,1,Highest
61,14,Yes,6,0,Mid-high
75,8,Yes,9,1,Mid-high
74,17,Yes,999,1,Mid-high
42,11,Yes,9,1,Lowest
48,13,Yes,6,1,Lowest
32,17,Yes,7,1,Highest
26,15,Yes,12,1,Lowest
50,21,Yes,9,1,Highest
40,9,Yes,7,1,Mid-high
81,9,Yes,7,1,Lowest
55,22,Yes,8,1,Mid-high
52,10,Yes,3,1,Highest
26,16,Yes,6,1,Mid-high
65,9,Yes,7,0,Mid-high
79,13,No,2,1,Mid-low
63,9,Yes,9,0,Lowest
56,11,Yes,9,0,Lowest
51,11,Yes,12,1,Mid-high
57,5,Yes,7,1,Mid-low
41,16,Yes,11,1,Highest
33,14,Yes,10,1,Mid-high
27,9,Yes,8,1,Highest
39,12,Yes,3,1,Lowest
35,14,Yes,11,1,Mid-low
58,9,Yes,9,1,Mid-low
50,9,Yes,0,0,Lowest
58,9,Yes,5,1,Lowest
66,18,Yes,9,1,Highest
67,10,Yes,0,1,Mid-low
39,23,Yes,12,1,Highest
59,9,Yes,11,1,Mid-high
46,12,Yes,9,1,Mid-high
52,15,Yes,9,1,Highest
48,17,Yes,7,1,Highest
48,12,Yes,7,1,Mid-high
37,11,Yes,6,1,Mid-high
52,9,Yes,12,1,Mid-low
41,11,Yes,12,1,Mid-low
51,9,Yes,6,1,Mid-low
64,9,Yes,0,1,Lowest
34,16,Yes,9,1,Lowest
59,15,Yes,2,0,Mid-high
54,9,Yes,7,1,Mid-low
18,12,Yes,6,1,Mid-low
66,14,Yes,5,1,Mid-low
56,11,Yes,12,1,Highest
86,15,No,4,0,Mid-low
46,9,Yes,9,0,Lowest
67,11,Yes,8,1,Mid-high
39,10,Yes,12,1,Lowest
74,8,No,0,0,Lowest
45,9,Yes,8,1,Highest
46,14,Yes,5,1,Lowest
25,12,Yes,12,1,Mid-low
50,6,Yes,10,1,Highest
58,9,Yes,12,1,Mid-high
61,9,Yes,4,1,Mid-high
38,12,Yes,9,1,Mid-high
38,12,Yes,12,1,Highest
43,15,Yes,9,1,Mid-high
23,13,Yes,12,1,Mid-low
47,8,Yes,3,1,Lowest
30,16,Yes,12,1,Mid-high
46,16,Yes,6,0,Mid-low
53,9,Yes,5,1,Mid-low
49,15,Yes,7,1,Highest
82,8,Yes,6,1,Mid-low
79,9,Yes,3,1,Lowest
66,12,Yes,9,1,Mid-high
83,6,Yes,8,0,Lowest
53,12,No,0,0,Mid-high
82,9,No,0,0,Highest
61,8,Yes,9,1,Mid-low
20,12,Yes,10,1,Mid-low
63,9,Yes,7,1,Lowest
81,9,Yes,0,0,Mid-low
54,12,Yes,6,1,Mid-high
37,15,Yes,9,1,Mid-high
70,16,Yes,6,1,Mid-high
37,16,Yes,11,1,Mid-high
53,16,Yes,9,1,Highest
60,12,Yes,7,1,Lowest
60,15,Yes,12,1,Highest
54,19,Yes,4,1,Mid-high
49,12,Yes,6,1,Mid-high
26,10,Yes,12,1,Mid-high
69,9,Yes,5,1,Lowest
55,6,Yes,9,1,Highest
47,9,Yes,4,1,Lowest
26,19,Yes,12,1,Mid-high
61,9,Yes,6,0,Lowest
49,12,Yes,9,1,Mid-high
75,8,Yes,4,1,Mid-high
52,16,Yes,8,1,Lowest
66,9,Yes,6,1,Mid-high
46,11,Yes,12,1,Highest
48,16,Yes,3,1,Highest
37,9,Yes,12,1,Mid-high
66,14,Yes,5,1,Mid-low
70,11,Yes,9,1,Mid-high
38,8,Yes,6,0,Lowest
37,16,Yes,12,1,Highest
86,10,No,999,0,Lowest
61,19,Yes,5,1,Mid-high
38,15,Yes,9,1,Lowest
74,9,No,0,0,Mid-low
64,17,Yes,8,1,Mid-low
38,9,Yes,9,1,Mid-high
42,14,Yes,8,1,Lowest
21,13,Yes,12,1,Mid-high
72,9,Yes,6,1,Mid-high
80,18,Yes,9,1,Mid-high
27,15,Yes,12,1,Mid-high
63,18,Yes,7,1,Mid-low
71,9,Yes,9,1,Highest
70,9,Yes,8,1,Mid-low
78,12,Yes,6,0,Mid-low
20,12,Yes,11,1,Highest
71,9,Yes,3,0,Mid-high
53,12,Yes,10,1,Mid-low
33,15,Yes,8,1,Mid-low
63,13,No,2,0,Mid-high
35,9,Yes,6,0,Mid-low
48,9,Yes,6,1,Mid-low
25,9,Yes,9,1,Mid-low
37,9,Yes,12,1,Mid-low
21,14,Yes,9,1,Lowest
58,9,Yes,6,1,Highest
58,11,No,0,0,Lowest
39,27,Yes,12,1,Mid-high
74,9,No,0,0,Lowest
63,17,Yes,5,1,Mid-low
77,9,No,0,0,Lowest
41,15,Yes,7,1,Lowest
84,10,Yes,4,0,Lowest
67,20,Yes,7,1,Lowest
79,8,Yes,6,1,Lowest
80,10,Yes,7,1,Lowest
27,14,Yes,9,1,Mid-low
35,15,No,8,0,Highest
65,9,Yes,3,0,Mid-low
65,9,Yes,0,0,Lowest
23,9,Yes,10,1,Mid-low
38,9,Yes,9,999,Mid-low
84,9,Yes,5,1,Highest
68,4,Yes,2,0,Lowest
56,8,Yes,12,1,Lowest
49,9,Yes,2,0,Mid-low
48,9,Yes,3,1,Mid-low
19,9,Yes,8,1,Mid-high
39,9,Yes,5,1,Mid-high
82,13,No,0,0,Lowest
61,11,Yes,7,1,Mid-high
69,14,Yes,5,1,Mid-low
63,9,Yes,9,1,Lowest
26,20,Yes,12,1,Lowest
33,13,Yes,9,1,Highest
75,8,Yes,3,1,Lowest
75,8,No,0,0,Mid-high
54,10,Yes,4,1,Mid-high
56,11,Yes,12,1,Mid-low
29,19,Yes,7,1,Mid-high
66,16,Yes,10,1,Mid-low
33,12,Yes,9,1,Lowest
27,9,Yes,12,1,Highest
89,15,No,0,0,Highest
56,9,Yes,6,0,Mid-high
48,9,Yes,9,1,Mid-high
43,13,Yes,9,1,Mid-low
37,9,Yes,12,1,Mid-high
38,23,Yes,8,1,Highest
31,10,Yes,8,1,Mid-low
61,10,Yes,6,1,Highest
84,17,Yes,9,1,Mid-low
30,19,Yes,9,1,Mid-low
32,8,Yes,9,1,Mid-low
79,8,Yes,999,1,Lowest
61,9,Yes,7,1,Mid-low
24,18,Yes,6,1,Mid-low
30,18,Yes,9,1,Mid-high
59,9,Yes,12,1,Highest
47,9,Yes,3,1,Mid-high
37,21,Yes,12,1,Lowest
47,9,Yes,7,1,Mid-high
71,13,Yes,7,0,Mid-high
85,9,Yes,2,0,Mid-high
55,15,Yes,12,1,Highest
51,0,Yes,4,1,Highest
34,16,Yes,12,1,Mid-high
64,9,Yes,1,0,Lowest
72,9,Yes,3,1,Lowest
52,12,Yes,9,1,Mid-high
42,9,Yes,12,1,Mid-high
67,9,Yes,0,0,Highest
45,17,Yes,11,1,Highest
79,9,Yes,3,1,Lowest
34,12,Yes,9,1,Highest
52,10,Yes,9,1,Highest
53,9,Yes,3,1,Mid-high
73,10,Yes,4,1,Mid-high
29,20,Yes,9,1,Lowest
39,18,Yes,9,1,Mid-high
59,23,Yes,12,1,Highest
30,10,Yes,5,1,Lowest
29,18,Yes,12,1,Mid-high
36,9,Yes,12,1,Highest
32,5,Yes,7,1,Mid-high
43,7,Yes,12,1,Highest
50,13,Yes,12,1,Highest
60,17,Yes,8,1,Highest
66,10,Yes,6,1,Lowest
18,12,Yes,10,1,Mid-high
33,18,Yes,10,1,Mid-high
57,18,Yes,6,1,Highest
54,16,Yes,11,1,Highest
25,17,Yes,11,1,Lowest
41,19,Yes,8,1,Mid-high
42,9,Yes,12,1,Highest
31,10,Yes,6,1,Mid-low
51,20,Yes,9,1,Mid-high
31,16,Yes,8,1,Mid-low
58,9,Yes,9,1,Mid-low
68,9,Yes,7,1,Mid-high
57,12,Yes,3,1,Mid-high
90,10,Yes,0,0,Lowest
76,8,Yes,9,1,Lowest
67,9,Yes,6,0,Mid-low
53,10,Yes,8,1,Mid-high
24,10,Yes,12,1,Mid-low
44,9,Yes,9,1,Mid-high
38,9,Yes,12,1,Mid-high
53,13,Yes,12,1,Highest
51,15,Yes,11,1,Mid-high
23,9,Yes,0,1,Mid-high
54,15,Yes,8,1,Mid-high
45,18,Yes,8,1,Mid-high
66,13,Yes,9,1,Mid-high
25,10,Yes,9,1,Mid-high
48,12,No,12,1,Mid-high
40,18,Yes,3,1,Mid-high
71,8,Yes,6,1,Mid-low
31,18,Yes,6,0,Lowest
46,9,Yes,2,1,Lowest
52,9,Yes,12,1,Mid-high
65,12,Yes,5,1,Lowest
37,4,Yes,10,1,Mid-high
42,8,Yes,7,0,Lowest
59,16,Yes,6,1,Mid-low
88,8,Yes,2,0,Lowest
19,9,Yes,12,1,Highest
70,9,Yes,6,0,Mid-low
63,9,Yes,9,1,Lowest
44,17,Yes,7,1,Mid-low
20,17,Yes,8,1,Mid-high
50,9,Yes,7,1,Mid-high
37,9,Yes,12,1,Lowest
59,11,Yes,6,1,Mid-high
59,1,Yes,6,1,Mid-low
70,4,Yes,6,1,Mid-low
70,9,Yes,2,1,Lowest
52,13,Yes,7,1,Mid-low
28,12,Yes,12,1,Mid-low
75,9,No,0,1,Lowest
59,9,Yes,4,1,Mid-low
61,9,Yes,5,1,Mid-high
75,20,Yes,7,0,Mid-high
68,7,Yes,3,0,Mid-low
76,17,Yes,4,1,Lowest
56,18,Yes,12,1,Highest
54,9,Yes,9,1,Mid-high
59,15,Yes,6,1,Mid-low
36,9,Yes,6,0,Mid-low
74,10,No,999,0,Mid-low
82,9,Yes,3,0,Mid-low
21,13,Yes,12,1,Highest
58,9,Yes,3,1,Mid-low
82,12,Yes,5,1,Highest
35,12,Yes,12,1,Mid-high
70,14,No,0,0,Mid-high
24,17,Yes,12,1,Mid-low
62,18,Yes,11,1,Highest
21,9,Yes,12,1,Mid-low
56,12,Yes,12,1,Highest
33,21,Yes,9,1,Mid-high
60,12,Yes,999,0,Mid-high
67,16,No,9,1,Mid-high
61,0,Yes,4,0,Lowest
80,9,Yes,0,0,Lowest
53,11,Yes,5,1,Lowest
77,12,Yes,5,0,Mid-low
41,9,Yes,12,1,Mid-low
28,9,Yes,9,1,Lowest
76,11,Yes,6,0,Mid-high
44,21,Yes,12,1,Highest
71,18,Yes,9,1,Lowest
66,9,Yes,9,1,Lowest
69,9,Yes,6,1,Mid-low
57,20,Yes,7,1,Highest
31,9,Yes,12,1,Mid-low
74,12,Yes,5,1,Lowest
37,24,Yes,9,1,Highest
28,20,Yes,12,1,Lowest
53,11,Yes,6,1,Highest
48,12,No,9,1,Mid-low
25,14,Yes,11,1,Mid-high
29,16,Yes,6,1,Mid-high
50,9,Yes,5,1,Lowest
33,9,Yes,12,1,Mid-low
77,5,Yes,0,0,Mid-low
33,9,Yes,9,1,Mid-high
55,9,Yes,6,1,Lowest
55,10,Yes,3,0,Lowest
54,12,No,6,1,Highest
71,9,Yes,6,1,Mid-high
41,16,Yes,12,1,Mid-high
34,9,Yes,8,1,Mid-low
54,10,Yes,8,1,Highest
45,19,Yes,12,1,Mid-high
62,15,Yes,9,0,Mid-low
43,9,Yes,9,1,Mid-high
79,13,Yes,6,0,Mid-low
27,15,Yes,12,1,Mid-low
75,9,Yes,9,1,Mid-low
23,9,Yes,12,1,Mid-low
42,15,Yes,9,1,Mid-high
81,15,No,0,0,Lowest
68,10,Yes,9,1,Highest
32,13,Yes,9,1,Mid-high
27,9,Yes,9,1,Mid-high
73,13,Yes,7,0,Mid-low
64,9,Yes,3,0,Lowest
45,10,Yes,9,0,Highest
34,9,Yes,12,1,Mid-high
40,10,Yes,2,1,Mid-high
87,9,Yes,3,0,Mid-high
54,9,Yes,6,0,Mid-high
58,9,Yes,3,0,Mid-low
22,13,Yes,9,1,Highest
72,8,Yes,3,0,Mid-low
21,13,Yes,7,1,Highest
61,7,Yes,1,0,Mid-low
47,10,Yes,12,1,Highest
34,20,Yes,12,1,Mid-low
26,14,Yes,9,1,Highest
66,9,Yes,5,1,Mid-low
26,9,Yes,9,1,Mid-high
49,9,Yes,7,1,Highest
79,8,No,0,0,Lowest
56,9,Yes,6,1,Lowest
36,17,Yes,9,1,Mid-high
30,9,Yes,12,1,Lowest
60,11,Yes,0,1,Mid-high
44,14,Yes,12,1,Highest
19,11,Yes,9,1,Highest
59,9,Yes,3,0,Mid-low
60,9,Yes,12,1,Highest
25,6,Yes,9,0,Lowest
56,10,Yes,8,999,Mid-high
37,17,Yes,12,1,Mid-high
68,16,Yes,12,1,Mid-low
24,17,Yes,12,1,Lowest
49,13,Yes,8,1,Mid-low
76,8,Yes,4,1,Lowest
61,10,Yes,9,1,Mid-high
36,18,Yes,12,1,Mid-high
43,22,Yes,9,1,Highest
77,11,No,0,0,Lowest
40,9,Yes,8,1,Lowest
71,14,No,0,0,Lowest
38,9,Yes,8,1,Lowest
25,9,Yes,6,1,Mid-high
66,12,Yes,4,0,Lowest
87,8,No,0,0,Mid-low
34,15,Yes,9,1,Mid-high
46,19,Yes,9,1,Highest
41,11,Yes,9,1,Lowest
42,12,Yes,11,1,Mid-low
25,9,Yes,12,1,Lowest
24,9,Yes,12,1,Mid-low
82,8,Yes,0,0,Lowest
74,8,Yes,3,1,Mid-high
58,13,Yes,7,0,Mid-high
23,10,Yes,10,1,Mid-high
26,10,Yes,7,0,Lowest
41,13,Yes,8,1,Highest
61,9,Yes,4,1,Lowest
53,4,Yes,1,0,Lowest
37,21,Yes,9,1,Mid-high
65,10,Yes,5,0,Mid-high
62,9,Yes,6,1,Mid-low
56,13,Yes,8,1,Highest
37,10,Yes,8,1,Lowest
28,17,Yes,11,1,Lowest
36,15,Yes,12,1,Highest
60,13,Yes,7,0,Lowest
36,9,Yes,12,1,Mid-low
25,17,Yes,9,1,Mid-low
60,8,Yes,8,1,Mid-high
44,9,Yes,12,1,Mid-high
29,9,Yes,12,1,Mid-high
44,9,Yes,6,1,Mid-high
44,18,Yes,8,1,Mid-high
36,9,Yes,6,1,Mid-low
86,9,No,0,0,Mid-high
53,10,Yes,7,1,Mid-high
54,11,No,0,0,Mid-high
59,8,Yes,12,1,Mid-high
50,20,Yes,9,1,Mid-high
43,9,Yes,5,0,Lowest
49,13,Yes,7,1,Highest
20,12,Yes,12,1,Highest
48,16,Yes,12,1,Lowest
23,9,Yes,5,1,Mid-high
78,10,Yes,6,1,Mid-high
32,19,Yes,10,1,Lowest
66,9,Yes,6,1,Mid-high
40,8,No,10,1,Highest
79,12,Yes,5,1,Highest
26,18,Yes,9,1,Lowest
41,9,Yes,5,1,Mid-low
49,13,Yes,9,1,Mid-high
40,9,No,1,0,Lowest
20,14,Yes,9,1,Mid-high
60,9,Yes,6,1,Mid-low
60,9,Yes,999,0,Mid-low
40,18,Yes,12,1,Mid-high
61,12,Yes,4,0,Lowest
31,10,Yes,12,1,Mid-high
34,18,Yes,12,1,Highest
64,9,Yes,5,1,Mid-low
52,10,Yes,7,1,Lowest
41,9,Yes,12,1,Mid-low
58,13,Yes,7,1,Mid-low
85,7,No,12,0,Lowest
61,9,Yes,6,1,Mid-high
38,9,Yes,12,1,Mid-high
60,23,Yes,12,1,Mid-high
37,9,Yes,9,1,Highest
54,9,Yes,9,1,Highest
35,16,Yes,11,1,Lowest
55,9,Yes,9,0,Mid-high
61,10,Yes,8,1,Lowest
61,13,Yes,2,0,Mid-high
55,9,Yes,6,1,Mid-high
23,17,Yes,12,1,Mid-low
54,9,Yes,3,0,Mid-low
51,10,Yes,10,1,Mid-high
25,9,Yes,6,1,Mid-low
60,19,Yes,3,1,Highest
63,9,Yes,6,1,Lowest
37,9,Yes,12,1,Mid-high
20,10,Yes,9,1,Highest
39,9,Yes,12,1,Mid-high
46,14,Yes,12,1,Mid-high
74,9,Yes,4,1,Lowest
28,12,Yes,9,1,Mid-high
52,12,Yes,7,1,Mid-low
64,9,Yes,9,1,Mid-high
24,8,Yes,5,1,Lowest
84,17,Yes,9,1,Mid-high
72,12,Yes,9,1,Mid-high
45,12,Yes,12,1,Mid-high
79,12,No,0,0,Lowest
59,10,Yes,8,1,Mid-low
48,12,Yes,8,1,Mid-low
90,9,No,0,0,Lowest
32,9,Yes,12,1,Mid-high
62,8,No,0,0,Mid-low
72,9,Yes,12,1,Lowest
84,11,Yes,6,1,Mid-low
74,9,Yes,6,1,Highest
36,17,Yes,12,1,Highest
24,10,Yes,3,0,Mid-high
41,10,Yes,9,1,Mid-low
35,9,Yes,6,1,Mid-high
49,16,Yes,12,0,Lowest
76,0,Yes,1,0,Mid-low
43,9,Yes,9,0,Lowest
54,9,Yes,6,1,Mid-high
69,8,No,0,0,Mid-low
48,16,Yes,9,1,Mid-high
68,13,Yes,5,1,Mid-low
74,14,Yes,5,0,Mid-low
63,11,No,6,1,Mid-low
77,13,Yes,6,1,Mid-low
38,9,Yes,12,1,Mid-low
52,12,Yes,12,1,Highest
60,9,Yes,9,1,Mid-high
78,8,Yes,3,1,Lowest
65,17,Yes,6,1,Mid-low
56,8,Yes,6,1,Mid-high
54,12,Yes,7,1,Mid-low
56,16,Yes,9,1,Highest
19,12,Yes,11,1,Highest
41,9,Yes,12,1,Highest
31,9,Yes,0,1,Lowest
69,14,Yes,6,0,Mid-low
64,9,Yes,8,1,Highest
40,13,Yes,12,1,Mid-high
23,9,Yes,12,1,Lowest
46,18,Yes,12,1,Mid-high
20,9,Yes,9,1,Lowest
73,24,Yes,2,1,Mid-high
24,16,Yes,12,1,Lowest
21,10,Yes,12,1,Mid-high
33,9,Yes,10,1,Mid-high
46,16,Yes,9,1,Mid-high
30,20,Yes,12,1,Lowest
70,18,Yes,6,1,Lowest
38,9,Yes,12,1,Lowest
75,11,Yes,9,1,Highest
65,18,Yes,8,1,Mid-high
53,14,Yes,9,1,Lowest
60,9,Yes,12,1,Mid-high
46,9,Yes,9,1,Highest
54,11,Yes,12,1,Mid-high
57,12,Yes,12,1,Mid-high
76,21,Yes,12,1,Highest
41,21,Yes,10,1,Lowest
64,8,Yes,3,0,Mid-low
38,8,Yes,12,1,Mid-high
86,9,Yes,5,1,Mid-high
59,15,Yes,12,1,Highest
77,9,No,0,0,Lowest
60,9,Yes,6,0,Lowest
37,9,Yes,8,1,Mid-low
39,13,Yes,9,1,Lowest
34,9,Yes,9,1,Mid-low
18,12,Yes,12,1,Highest
33,13,Yes,8,1,Mid-high
63,10,Yes,6,1,Mid-high
47,9,Yes,5,1,Lowest
78,13,Yes,4,1,Mid-low
71,9,Yes,7,1,Mid-high
20,15,Yes,12,1,Lowest
54,11,Yes,12,1,Mid-high
57,11,No,0,0,Lowest
39,9,Yes,6,1,Lowest
31,12,Yes,12,1,Mid-low
23,9,Yes,9,1,Lowest
33,9,Yes,6,1,Mid-low
18,10,Yes,12,1,Mid-high
24,9,Yes,12,1,Lowest
44,9,Yes,6,0,Mid-high
24,15,Yes,9,1,Mid-low
62,9,Yes,6,1,Mid-low
63,10,Yes,9,1,Highest
62,9,Yes,7,0,Mid-high
62,16,Yes,12,1,Highest
70,9,Yes,9,1,Mid-high
64,26,Yes,9,1,Mid-high
52,9,Yes,12,1,Mid-high
18,0,Yes,7,1,Mid-high
84,9,No,0,0,Lowest
54,14,Yes,10,1,Mid-low
58,9,Yes,3,1,Lowest
51,14,Yes,12,1,Mid-high
83,10,Yes,4,1,Lowest
28,9,Yes,4,1,Lowest
34,10,Yes,9,1,Lowest
46,9,Yes,11,1,Mid-high
55,12,Yes,10,1,Mid-high
40,9,Yes,9,1,Mid-high
63,9,Yes,6,1,Highest
20,10,Yes,7,1,Highest
24,9,Yes,3,1,Highest
43,0,Yes,12,1,Mid-high
42,10,Yes,9,1,Mid-high
70,9,Yes,9,1,Highest
83,11,Yes,12,1,Lowest
31,10,Yes,9,1,Highest
59,9,Yes,12,1,Mid-high
58,10,Yes,7,1,Mid-high
76,13,Yes,7,0,Mid-high
67,9,Yes,3,0,Mid-high
59,9,Yes,8,1,Mid-high
63,11,Yes,10,1,Mid-low
30,14,No,9,0,Mid-low
52,12,Yes,7,1,Highest
18,11,Yes,5,1,Mid-high
52,16,Yes,12,1,Highest
69,9,Yes,6,1,Lowest
19,12,Yes,12,1,Lowest
39,3,Yes,0,1,Mid-high
53,8,Yes,8,1,Mid-high
74,9,No,999,0,Lowest
