Sserial,Sex,Age,Married,Children,Education,eq_inc_quintiles,RClassGp,CCBELIEV,carallow,carreduc,carnod2,cartaxhi,carenvdc,plnenvt,plnuppri,Politics,Voted,actchar,actpol,govnosa2,PartyId2,leftrigh,libauth,WtFactor
293299,2,33,4,1,3,1,3,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,2.4,3.666666667,0.501248926
293304,1,27,1,1,2,-1,5,3,1,5,2,5,5,2,4,4,-1,-1,-1,-1,5,3.6,4.166666667,1.615392119
293308,2,25,4,1,4,3,5,3,-1,-1,-1,-1,-1,-1,-1,5,1,5,5,1,2,2.4,4.333333333,0.690043056
293309,1,34,1,1,4,3,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,1.427072319
293320,1,32,1,2,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,2.2,2,1.189183807
293321,2,25,4,1,3,-1,5,3,3,2,4,4,4,3,3,1,-1,-1,-1,-1,2,2.6,3.166666667,0.553300287
293323,2,33,1,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.4,3.166666667,1.008658879
293325,2,30,1,1,2,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,3,5,2,1,3.2,3.333333333,0.853673096
293335,2,32,4,1,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2,3.333333333,0.604572331
293343,2,27,4,1,2,3,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,2,3.666666667,0.702761984
293359,2,32,2,1,3,1,4,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,2.4,3.166666667,0.910291139
293360,1,34,1,2,1,-1,1,3,3,2,4,3,2,4,2,2,-1,-1,-1,-1,8,2.6,3.666666667,1.25647288
293363,2,32,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,2,2.2,4.333333333,1.027077349
293379,1,25,1,2,2,4,2,-1,-1,-1,-1,-1,-1,-1,-1,1,1,4,2,5,2,3,3.666666667,1.467156058
293387,2,30,2,1,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,4,-1,-1,0.52672048
293392,2,31,1,2,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,1.188814866
293396,2,34,4,1,1,-1,1,3,4,2,4,4,1,4,2,1,-1,-1,-1,-1,2,2.2,3.166666667,0.516593963
293397,1,34,4,2,1,-1,1,3,4,2,4,4,1,4,3,2,-1,-1,-1,-1,1,3.8,3.666666667,0.571050864
293404,1,29,1,2,1,5,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,2.2,2,1.242879808
293405,1,30,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,2,3,3,0.714478706
293410,2,31,1,2,8,-1,2,3,4,2,4,2,1,4,3,4,-1,-1,-1,-1,6,2.6,2,1.458166539
293413,1,27,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,3,5,3,2,1.4,2,1.717758081
293424,2,27,4,1,4,-1,-1,2,4,2,3,3,8,4,3,4,-1,-1,-1,-1,2,2.2,3.666666667,0.528040518
293431,2,32,4,1,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,2,2.4,4.166666667,0.512032851
293432,1,29,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,2,1,4.2,5,1.456195246
293447,2,28,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,2,1,3,4,0.982625132
293449,2,29,1,1,2,1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,4,4.166666667,1.04992736
293454,2,26,1,1,2,2,5,2,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.2,3.333333333,1.138605616
293458,2,28,1,2,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,1,2.4,3.5,1.532433601
293469,2,26,1,2,1,-1,1,3,5,1,5,2,1,5,2,3,-1,-1,-1,-1,2,1.6,5,1.048841044
293470,2,25,1,1,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,2.8,3.5,1.121431005
293471,1,32,4,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,2.679923965
293496,1,33,1,2,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,1,3.6,3.5,1.559441001
293512,2,31,1,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,1.123470701
293525,1,33,4,2,4,1,-1,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,4,1.6,2.333333333,1.403854606
293526,2,33,1,1,2,-1,2,3,8,8,8,8,8,8,8,4,-1,-1,-1,-1,1,3,9,1.04830071
293537,2,27,1,1,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,1.658403085
293557,2,30,1,1,1,1,5,3,-1,-1,-1,-1,-1,-1,-1,2,2,4,5,4,2,2.4,2.666666667,1.078032837
293561,1,28,1,1,1,-1,1,3,3,1,5,1,1,3,1,1,-1,-1,-1,-1,2,9,9,1.372211927
293575,1,29,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,3,-1,-1,2.099743759
293576,1,28,4,2,3,3,2,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.8,2.833333333,2.039538838
293579,1,33,2,2,1,-1,1,3,3,3,4,3,2,3,3,1,-1,-1,-1,-1,3,2.8,2.833333333,0.653728963
293587,1,34,1,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,2.2,3.333333333,1.985589035
293597,2,29,4,1,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,5,1,2,5,2,2,2.4,2.833333333,0.448100068
293598,2,34,1,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,4,5,4,6,2.4,3.333333333,2.467584501
293602,1,32,4,1,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,2,1,2.4,4.5,0.701871823
293603,2,29,4,1,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,0.625159525
293606,1,33,1,1,2,4,4,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,2.6,4.5,1.439369147
293611,2,31,1,1,3,1,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,3,2,2.4,3.666666667,0.830429771
293617,2,33,4,1,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,0.445630845
293624,2,25,4,1,8,2,3,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,0.608507257
293663,1,30,1,1,3,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,1,3.6,4.5,1.234288324
293673,2,29,4,1,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,1,4.333333333,0.77743389
293674,1,30,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,3.6,3,1.346802702
293679,2,28,1,2,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,5,5,2.6,2.833333333,1.048913779
293695,2,30,4,2,2,5,1,3,-1,-1,-1,-1,-1,-1,-1,4,2,2,5,1,5,2.8,5,0.449269721
293705,2,28,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,4,5,2,1,1.6,2.166666667,1.150339671
293720,2,33,4,2,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,4,5,2,2,3.4,3.666666667,0.533113836
293731,2,26,1,1,2,-1,1,3,3,3,2,3,2,3,2,4,-1,-1,-1,-1,1,2.8,3.833333333,0.980719069
293737,2,33,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,3,1,2,2,3.5,0.412384807
293738,1,30,4,2,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,4,2,1.2,1.833333333,1.910147988
293744,1,31,1,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,1.312006696
293757,1,29,4,2,3,3,4,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,4,2.6,3.166666667,2.702277051
293769,2,26,4,1,4,-1,5,2,8,8,8,8,8,8,8,5,-1,-1,-1,-1,5,3,3,0.569200939
293790,1,27,1,1,2,-1,1,3,3,4,1,2,2,3,2,3,-1,-1,-1,-1,2,1,1.833333333,1.234288324
293807,1,33,4,2,3,4,3,-1,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,1,4,2.2,3.833333333,0.77409323
293810,1,27,4,2,4,-1,4,3,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,5,-1,-1,0.739040638
293814,2,27,1,2,3,-1,1,3,4,2,2,3,3,9,2,4,-1,-1,-1,-1,5,3,3.333333333,1.116631452
293815,2,31,4,2,1,-1,1,3,3,2,4,2,1,3,2,3,-1,-1,-1,-1,2,3.2,2.333333333,1.820894423
293816,1,25,1,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,4,3,3.8,2.333333333,1.152332475
293828,1,34,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1.383333532
293835,2,30,4,1,2,-1,5,3,3,3,2,4,2,3,2,5,-1,-1,-1,-1,5,2.4,4,0.485389052
293836,1,34,1,2,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,2,1,2.4,3.833333333,1.707744072
293851,2,26,1,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,2,2,2.2,1.833333333,0.875422863
293864,2,27,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,1,1,1.2,4.333333333,0.842094572
293866,1,32,2,2,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,2,5,2.2,3.666666667,1.350551223
293873,1,29,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,2,2.6,3.833333333,1.897418305
293875,1,31,1,2,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,2,5,5,3,2,1.6,3.166666667,1.455050973
293881,2,32,1,2,1,-1,1,3,4,1,4,2,3,5,8,2,-1,-1,-1,-1,2,2.4,2,1.627250212
293885,1,30,1,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,3.4,3,1.613206952
293892,1,29,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,3,3,2.2,2.833333333,1.499001004
293903,2,30,1,1,3,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,2,-1,-1,1.106600574
293919,2,28,4,2,3,-1,5,2,2,3,3,3,3,2,4,3,-1,-1,-1,-1,2,2.6,3.666666667,1.58334212
293923,1,31,1,2,1,4,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,6,1.2,2,1.203481332
293926,1,27,4,1,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,8,-1,-1,1.069242955
293928,1,28,4,2,4,-1,3,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,0.686990631
293929,1,25,4,2,1,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,1.6,3.166666667,1.468964392
293938,2,31,2,1,3,2,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,-1,-1,0.480495369
293945,1,25,4,2,1,5,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,1,1,3.2,4.333333333,1.815339115
293947,2,30,1,1,2,-1,5,3,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,8,-1,-1,1.71148501
293962,1,34,1,1,2,-1,5,3,8,8,8,8,8,4,2,1,-1,-1,-1,-1,1,2.6,4,1.599430028
293969,1,26,1,2,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,-1,-1,1.872700378
293974,2,28,1,1,1,-1,1,3,3,1,5,2,2,4,2,2,-1,-1,-1,-1,3,2.8,2.5,0.987127165
293976,2,29,4,2,2,-1,1,3,3,3,3,3,3,3,3,4,-1,-1,-1,-1,2,2.6,3.166666667,0.417898486
293981,2,26,1,1,3,3,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,2.128464627
293984,1,26,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,1,-1,-1,1.30600151
293985,2,33,1,2,2,-1,1,2,3,3,3,3,2,3,2,3,-1,-1,-1,-1,1,2.6,3.666666667,1.295507212
293988,1,27,1,2,2,1,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,-1,-1,1.321344263
293998,1,26,4,2,2,5,4,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,3,2,9,9,0.601434248
294003,2,34,1,1,4,-1,5,1,2,2,5,3,3,3,3,5,-1,-1,-1,-1,5,2.2,3.833333333,1.027413249
290001,1,42,1,1,3,3,4,2,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,2,1,4.5,0.938058705
290019,2,43,4,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,1,4,1.2,5,0.565041345
290027,2,40,1,2,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,2,5,3,2,3,2.833333333,1.692542611
290028,1,43,4,2,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,4,5,1,2,2,3.5,0.959535403
290038,1,37,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,5,5,2,5,2,3.666666667,0.974394
290048,2,41,1,1,1,-1,1,3,3,2,2,4,2,4,2,2,-1,-1,-1,-1,2,2.2,3.333333333,0.924484513
290052,2,41,1,1,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,2,2,3,2.5,0.640915208
290055,2,39,1,2,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,3,3.166666667,0.835698933
290057,2,40,1,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,3,3,3,3.166666667,1.567020065
290058,2,39,1,1,3,1,4,2,-1,-1,-1,-1,-1,-1,-1,3,2,-1,-1,-1,1,2.2,4,1.354870952
290069,1,36,1,2,2,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,0.921032738
290076,1,44,1,1,4,-1,3,3,5,5,2,8,2,3,3,3,-1,-1,-1,-1,2,2.4,3.666666667,1.55420542
290082,2,44,2,1,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,5,2.4,3.166666667,0.441852262
290092,2,35,2,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,3,2,2,2.333333333,0.870294142
290115,1,38,1,2,8,4,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,5,1,5,2.2,3.333333333,3.18670545
290117,1,38,1,1,3,-1,3,3,-1,-1,-1,-1,-1,-1,-1,3,2,3,4,3,1,2.4,3.833333333,1.033160843
290127,2,41,1,1,2,-1,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,4,5,4,5,2.6,3.666666667,0.762958317
290129,1,43,1,1,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,1,3.2,2.5,1.492010944
290133,1,44,4,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,8,2.8,2.833333333,0.883697946
290143,1,40,1,1,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,9,3,2,2.8,3.666666667,1.265640446
290144,2,39,4,1,2,-1,1,2,8,4,2,3,2,3,4,3,-1,-1,-1,-1,2,2.4,3.5,0.592613027
290151,2,39,1,1,8,4,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,1,3.4,3.166666667,0.773204229
290153,2,35,1,1,2,4,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,0.91650192
290155,1,41,1,1,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.090374236
290160,1,39,1,2,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,4,2,2,1.4,3.166666667,1.40802159
290164,2,41,4,1,4,1,4,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2,4,0.632184559
290175,2,42,1,1,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,3,3,1.23731916
290181,1,37,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,3,-1,-1,1.241310186
290190,2,44,2,1,4,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,1,1.6,3.833333333,0.742362572
290192,1,43,1,1,1,-1,1,3,4,1,4,2,2,2,2,3,-1,-1,-1,-1,5,2.2,3,1.286238744
290194,2,40,4,1,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,2,5,3,4,0.927035294
290199,1,43,1,1,3,3,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,1.079624048
290214,2,44,1,2,3,4,5,3,-1,-1,-1,-1,-1,-1,-1,3,1,3,5,2,8,1.6,4.333333333,1.019919146
290222,2,42,1,1,1,-1,1,3,4,2,4,2,2,1,1,2,-1,-1,-1,-1,2,2.4,2.333333333,1.001934847
290223,2,41,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,4,5,4,2,1.4,2.5,1.276646602
290229,2,40,1,1,1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,2,-1,-1,1.0295564
290232,2,40,1,1,1,-1,2,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,0.743463203
290244,2,39,1,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,4,1,3,5,3,3,2.6,2.5,1.116345306
290251,1,42,1,2,4,-1,5,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,1.6,2.333333333,1.643892304
290254,2,42,1,1,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,8,2.4,4.166666667,0.772286521
290256,2,44,4,2,3,3,5,2,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,0.535457397
290282,2,44,1,1,1,-1,1,3,3,1,4,3,1,2,2,3,-1,-1,-1,-1,1,2.4,2.833333333,0.763476365
290290,1,35,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,1,3.8,3.666666667,0.937811017
290295,2,42,1,1,1,5,4,3,-1,-1,-1,-1,-1,-1,-1,4,2,2,3,2,2,2.6,3.166666667,2.011313655
290296,2,37,1,1,2,-1,2,3,3,3,3,3,3,4,1,3,-1,-1,-1,-1,1,2,3,1.405752544
290310,2,38,1,1,1,-1,2,3,3,2,3,3,1,3,3,3,-1,-1,-1,-1,2,2.8,3.166666667,0.979032374
290315,1,40,1,1,2,-1,1,2,3,2,1,2,1,4,1,2,-1,-1,-1,-1,1,2.8,4.833333333,1.276409824
290323,1,44,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,3.2,3.5,1.066026952
290331,2,39,1,2,8,-1,1,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,2,2.4,5,0.826750116
290339,2,37,2,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,3,5,4,1,3.6,3.833333333,0.539095267
290350,2,38,1,1,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,8,1.8,3.666666667,1.569521091
290356,2,42,1,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,1,4,3.833333333,1.212189658
290359,2,43,4,1,3,1,5,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,1,3,3.333333333,0.495888302
290371,2,39,1,1,3,-1,5,2,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,1.37866498
290374,1,37,1,1,3,-1,3,2,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,2.2,4.166666667,1.128083153
290376,2,36,2,1,8,1,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,3,4.166666667,0.705165281
290390,2,39,1,1,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,5,3.4,3.833333333,1.166527707
290403,2,41,1,1,1,3,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,8,2,4,0.956038207
290430,2,35,4,1,3,-1,2,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,6,-1,-1,0.403217898
290432,2,42,1,1,1,-1,1,3,2,4,2,2,3,2,2,1,-1,-1,-1,-1,2,4,3.5,0.91650192
290449,2,41,1,1,3,-1,5,3,8,8,8,8,8,8,8,3,-1,-1,-1,-1,4,2.4,4.333333333,1.17556814
290452,2,39,2,1,2,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,4,2,2,3.666666667,0.440090432
290453,1,42,1,1,3,1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,5,2,2,2,4.166666667,1.861964892
290456,2,40,4,1,2,1,4,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,4,-1,-1,0.524618959
290459,1,35,1,2,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,4,1,2.6,3.5,2.146647789
290462,2,36,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,2,2.2,2.166666667,0.954175553
290463,2,42,1,1,3,2,5,2,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,2.4,3.666666667,1.326101955
290465,2,35,4,1,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,-1,-1,0.577030632
290469,2,35,4,1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,5,2.2,4.5,0.628097739
290480,1,36,1,1,2,4,2,3,-1,-1,-1,-1,-1,-1,-1,2,1,5,5,3,1,2,2.833333333,1.264698132
290488,1,41,1,2,1,5,3,3,-1,-1,-1,-1,-1,-1,-1,1,1,3,3,3,1,2.8,3.5,1.245027524
290497,2,40,1,2,2,3,2,2,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,2,1.2,4.5,0.923294046
290518,2,39,4,1,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,8,3.2,4.333333333,0.606454793
290530,2,36,4,1,1,-1,5,3,2,2,3,4,2,3,2,1,-1,-1,-1,-1,4,2.2,2.166666667,0.583235958
290531,2,35,4,1,1,-1,5,3,3,3,3,3,3,4,3,5,-1,-1,-1,-1,2,3,3,1.352850137
290533,1,35,1,1,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,3,1,2.8,4,1.100843463
290553,1,38,4,2,4,1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,2,1,1.6,2.166666667,1.37395449
290555,2,35,2,1,3,1,5,-1,-1,-1,-1,-1,-1,-1,-1,3,1,4,5,2,1,2,4,0.442727451
290558,1,40,1,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,1.280902417
290569,2,41,1,1,1,-1,2,3,3,2,3,2,1,3,1,2,-1,-1,-1,-1,3,2.2,2.333333333,0.811616284
290570,2,41,4,1,1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,3,1,-1,-1,-1,2,2.4,3.5,0.536668447
290577,2,40,1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,5,2,5,2.6,3.8,1.005888499
290578,1,35,4,1,4,1,5,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,1.273061659
290585,1,43,4,2,1,4,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,5,2,2,1.6,4.333333333,0.492396716
290589,1,37,4,1,3,-1,5,3,3,3,2,3,4,2,2,4,-1,-1,-1,-1,5,2.4,3.5,1.548764941
290591,1,43,1,1,1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,5,5,4,2,3,4,1.335794379
290592,2,39,1,2,1,-1,1,3,4,2,4,3,2,5,3,3,-1,-1,-1,-1,2,2,3.833333333,0.71758638
290610,1,41,4,2,2,-1,5,3,3,2,8,2,1,2,2,5,-1,-1,-1,-1,5,3.4,3.5,0.547617691
290614,2,37,1,1,2,-1,5,3,3,2,1,2,1,8,2,4,-1,-1,-1,-1,5,2.6,3.5,1.050989766
290617,2,44,4,2,1,-1,2,3,2,5,1,3,2,3,1,4,-1,-1,-1,-1,1,3.8,3.666666667,0.483837228
290618,2,42,2,1,2,-1,2,3,4,2,5,4,4,4,3,2,-1,-1,-1,-1,1,2.2,4.833333333,1.151941482
290620,2,35,1,1,3,-1,2,2,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,0.997958678
290624,2,35,1,1,3,2,5,-1,-1,-1,-1,-1,-1,-1,-1,5,1,-1,-1,-1,8,-1,-1,0.997188917
290625,1,44,1,1,4,-1,5,3,4,2,3,4,1,4,2,3,-1,-1,-1,-1,2,1.8,4.333333333,1.201046465
290638,2,44,4,1,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,-1,-1,1.155795006
290643,1,39,1,1,3,4,4,3,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,5,-1,-1,1.448821389
290657,1,40,1,1,3,-1,3,3,3,3,2,3,2,4,3,2,-1,-1,-1,-1,2,3.2,4,1.448821389
290662,2,38,1,1,1,-1,1,3,3,3,2,4,2,3,2,5,-1,-1,-1,-1,5,2.2,3.333333333,0.901485317
290664,2,37,1,1,3,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,5,2,4.333333333,1.104577282
290677,2,39,1,1,1,1,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,5,5,4,1,3.8,3.166666667,0.823171749
290688,2,38,4,1,3,-1,5,3,-1,-1,-1,-1,-1,-1,-1,4,2,5,5,3,8,3,3.5,0.439862088
290690,2,43,2,1,3,-1,1,3,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,1,-1,-1,1.015263826
290691,1,40,2,2,8,5,5,2,-1,-1,-1,-1,-1,-1,-1,5,2,5,5,1,8,3.6,3.666666667,1.13925072
290693,2,40,1,1,2,-1,3,3,-1,-1,-1,-1,-1,-1,-1,4,1,-1,-1,-1,2,3,4,0.735213655
290697,1,35,1,1,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,1,1,1,5,2,1,2.4,3.166666667,1.14115276
290702,2,36,4,2,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,4,2,-1,-1,-1,5,1.8,1.833333333,0.776146699
