Sserial	Rsex	RAgeCat	Married	ChildHh	HEdQual3	eq_inc_quintiles	RClassGp	CCBELIEV	carallow	carreduc	carnod2	cartaxhi	carenvdc	plnenvt	plnuppri	Politics	Voted	actchar	actpol	govnosa2	PartyId2	leftrigh	libauth	WtFactor
290622	2	4	4	1	2	-1	2	3	3	3	2	3	2	3	2	3	-1	-1	-1	-1	3	2.2	3.166666667	0.513077267
290623	2	2	1	1	8	1	5	1	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	8	-1	-1	1.033710694
290624	2	3	1	1	3	2	5	-1	-1	-1	-1	-1	-1	-1	-1	5	1	-1	-1	-1	8	-1	-1	0.997188917
290625	1	3	1	1	4	-1	5	3	4	2	3	4	1	4	2	3	-1	-1	-1	-1	2	1.8	4.333333333	1.201046465
290626	2	4	1	2	1	1	3	3	-1	-1	-1	-1	-1	-1	-1	2	1	4	5	3	2	2	2.666666667	0.962552621
290627	1	6	1	2	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	3	2.4	4.166666667	0.734430817
290628	2	2	1	1	1	-1	1	3	2	3	4	4	4	4	4	2	-1	-1	-1	-1	8	2	4.333333333	1.166304392
290629	2	4	2	1	8	-1	5	3	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	8	2.2	3	1.265723473
290630	1	2	1	2	2	3	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	2.8	3.5	1.531053633
290631	2	4	4	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	2	-1	-1	0.519980933
290632	1	7	1	2	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	-1	-1	1.318313814
290633	1	5	4	2	3	-1	5	3	4	2	2	2	4	4	3	2	-1	-1	-1	-1	2	2.2	3.666666667	0.69597071
290634	2	7	3	2	2	-1	1	3	3	2	4	4	2	4	3	3	-1	-1	-1	-1	2	3.2	3.166666667	0.524199142
290635	1	2	4	2	2	5	2	-1	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	3	1	2.8	3	0.570159117
290636	1	5	4	2	3	2	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	9	9	0.432596909
290637	1	6	1	1	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	4	2	3.833333333	1.330495658
290638	2	3	4	1	2	3	5	-1	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	-1	-1	1.155795006
290639	2	7	1	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	1.4	3.666666667	1.316911097
290640	1	4	4	2	1	-1	1	3	4	2	4	2	1	4	1	1	-1	-1	-1	-1	1	2.4	3	0.70450447
290641	2	1	1	1	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	2	5	2	3.833333333	1.695590703
290642	1	4	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	1	5	4	6	3.4	1.333333333	0.941646202
290643	1	3	1	1	3	4	4	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	-1	-1	1.448821389
290644	2	2	1	1	8	2	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	2	3	3.666666667	0.974263385
290645	1	2	4	2	1	3	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4	3	4	2	1	1.166666667	2.367053337
290646	2	4	1	2	3	4	4	3	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	1	1	1.6	4.5	0.910534649
290647	2	4	1	1	3	-1	1	3	2	2	2	4	2	1	1	4	-1	-1	-1	-1	1	2.6	3.5	0.939481076
290648	1	2	1	1	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	1	4	3.166666667	1.160125027
290649	2	7	3	2	4	4	2	3	-1	-1	-1	-1	-1	-1	-1	3	1	1	5	4	1	2.8	3.666666667	0.564500431
290650	1	6	1	2	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	2	1.8	2.166666667	1.193671447
290651	1	1	4	2	2	5	3	1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	2	2	4.166666667	2.2379313
290652	2	7	1	2	3	-1	1	3	4	1	4	2	2	5	2	1	-1	-1	-1	-1	2	1.4	4.166666667	0.904816304
290653	1	7	1	2	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	4	3	1.6	2.666666667	1.277692217
290654	1	7	4	2	4	2	5	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	2	2	3.666666667	0.432335099
290655	1	4	4	2	3	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	-1	-1	0.537159878
290656	2	7	2	2	4	-1	2	3	3	2	2	4	4	4	2	4	-1	-1	-1	-1	4	1.6	3.666666667	0.595474985
290657	1	3	1	1	3	-1	3	3	3	3	2	3	2	4	3	2	-1	-1	-1	-1	2	3.2	4	1.448821389
290658	1	7	1	2	4	-1	5	3	4	3	3	9	3	4	4	2	-1	-1	-1	-1	2	3.2	3.5	0.874784258
290659	2	7	2	2	2	4	-1	2	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	5	2.2	2.5	0.524821458
290660	2	7	3	2	4	-1	1	1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	2	-1	-1	0.52432879
290661	1	2	4	2	1	-1	3	3	4	2	4	2	2	4	2	2	-1	-1	-1	-1	2	2.4	1.333333333	1.395947457
290662	2	3	1	1	1	-1	1	3	3	3	2	4	2	3	2	5	-1	-1	-1	-1	5	2.2	3.333333333	0.901485317
290663	2	2	1	1	3	-1	5	3	4	2	3	3	2	5	4	1	-1	-1	-1	-1	2	1	2.833333333	1.2665946
290664	2	3	1	1	3	1	2	2	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	5	2	4.333333333	1.104577282
290665	1	2	1	1	3	3	5	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	2.6	3.833333333	1.463822749
290666	1	2	4	2	1	2	1	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	2	1	2	0.524993084
290667	2	2	1	1	1	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	2	2.8	3.833333333	1.314257481
290668	2	7	4	2	4	-1	5	3	2	3	2	5	4	3	3	1	-1	-1	-1	-1	5	2.2	3.166666667	0.558650194
290669	1	2	1	2	3	4	1	3	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	2	-1	-1	1.242879808
290670	1	7	4	2	4	5	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	9	9	2	1	3.6	4.166666667	0.64245678
290671	1	4	4	2	4	-1	3	2	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	5	-1	-1	0.581938322
290672	2	2	2	1	2	3	1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	1	8	2.8	3.5	0.490485894
290673	2	7	3	2	2	3	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	9	9	1	5	2.4	2.833333333	0.63491714
290674	1	4	4	2	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	1	1	3	3.5	1.274745414
290675	1	5	1	1	1	2	3	3	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	2	-1	-1	1.158662884
290676	2	6	1	2	3	-1	3	3	3	2	2	4	2	4	2	1	-1	-1	-1	-1	1	2.2	3.666666667	0.759423901
290677	2	3	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	4	1	3.8	3.166666667	0.823171749
290678	1	4	2	2	2	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	1.6	4.333333333	0.539577412
290679	2	4	1	2	3	-1	5	3	4	4	4	4	4	2	2	4	-1	-1	-1	-1	5	2.4	4.833333333	0.785910544
290680	1	7	1	2	4	-1	1	3	4	2	4	2	2	3	3	1	-1	-1	-1	-1	1	3	4	0.771254137
290681	1	4	1	1	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	3	5	2	1.088850964
290682	2	7	1	2	8	-1	2	3	9	9	9	9	9	8	8	4	-1	-1	-1	-1	3	1	4.666666667	1.056841202
290683	2	4	4	2	2	-1	5	2	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	2	-1	-1	0.714857783
290684	1	1	4	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	-1	-1	2.751399057
290685	2	7	2	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	-1	-1	0.569872081
290686	1	4	2	2	4	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	3	3.333333333	0.480773815
290687	2	2	4	2	1	2	2	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	1.114732971
290688	2	3	4	1	3	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	5	5	3	8	3	3.5	0.439862088
290689	2	2	4	1	2	-1	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	2.4	4.666666667	0.49636387
290690	2	3	2	1	3	-1	1	3	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	1	-1	-1	1.015263826
290691	1	3	2	2	8	5	5	2	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	1	8	3.6	3.666666667	1.13925072
290692	2	1	4	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	3	8	3	3	1.31287937
290693	2	3	1	1	2	-1	3	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	3	4	0.735213655
290694	1	5	4	2	3	5	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	2.6	3.333333333	0.485042474
290695	1	4	4	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	2	3.333333333	0.53744877
290696	1	7	1	2	1	5	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	9	9	4	1	4.6	2.833333333	0.751125372
290697	1	3	1	1	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	1	5	2	1	2.4	3.166666667	1.14115276
290698	2	2	1	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	1	-1	-1	1.19730483
290699	2	2	4	2	2	-1	5	3	3	1	4	4	2	5	2	3	-1	-1	-1	-1	2	2.2	3.333333333	1.1340895
290700	1	7	1	2	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	1	1	3	4.166666667	0.930975405
290701	1	4	3	2	4	-1	3	3	3	2	2	4	2	4	2	3	-1	-1	-1	-1	4	1	3	0.582798731
290702	2	3	4	2	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	1.8	1.833333333	0.776146699
290703	2	7	3	2	3	-1	5	2	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	2	-1	-1	0.567813234
290704	2	3	2	2	1	3	4	3	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	8	2.8	4.166666667	0.412441526
290705	2	3	1	1	1	-1	1	3	2	1	5	2	2	5	2	2	-1	-1	-1	-1	8	3	2.833333333	0.922153255
290706	1	3	4	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	4	5	4	1	2	2.166666667	0.910062873
290707	2	7	3	1	1	-1	1	3	4	2	2	2	1	4	2	1	-1	-1	-1	-1	2	3	2.5	0.986425575
290708	2	4	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	1.021899647
290709	2	2	4	2	2	4	2	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2	3.833333333	0.566575063
290710	1	6	3	2	1	4	2	3	-1	-1	-1	-1	-1	-1	-1	3	1	2	5	4	3	3.4	2	0.416039314
290711	2	4	2	1	1	-1	4	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	1.4	4	1.137960125
290712	1	4	1	1	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4	4	2	2	1.6	2.666666667	1.054927555
290713	2	7	3	1	4	-1	5	2	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	5	-1	-1	1.457096395
290714	1	4	2	2	3	2	4	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	1	2	2	4.166666667	0.611616439
290715	1	5	1	1	1	-1	5	3	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	2	-1	-1	1.230077776
290716	2	7	1	2	3	-1	2	3	4	2	2	4	4	4	4	2	-1	-1	-1	-1	1	2.8	4.833333333	1.077125266
290717	2	5	1	1	3	1	5	3	-1	-1	-1	-1	-1	-1	-1	5	1	-1	-1	-1	1	2.8	3.666666667	1.981880441
290718	1	2	4	2	2	1	5	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5	5	2	1	2.2	4.166666667	1.753360679
290719	2	3	1	1	3	-1	1	3	2	3	3	4	2	2	4	4	-1	-1	-1	-1	1	3	3.5	1.183968345
290720	1	7	1	2	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	3	5	1	1	3.2	4	0.723396031
290721	1	4	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	3	2	3	3	1.465286749
290722	1	6	2	2	3	-1	5	1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	2	1.2	4.833333333	0.322671266
290723	1	1	4	2	2	5	2	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	2.975122748
290724	2	4	1	1	2	3	2	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	4	4.666666667	0.633924878
290725	1	7	1	2	3	5	5	-1	-1	-1	-1	-1	-1	-1	-1	1	2	5	5	1	2	1	3.333333333	0.932746675
290726	2	3	1	1	2	-1	1	3	2	3	1	4	2	1	4	3	-1	-1	-1	-1	2	1.8	3.833333333	0.940731279
290727	2	7	2	2	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	4	5	2	3.2	2.333333333	0.491503149
290728	1	1	4	2	4	1	8	1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	5	2.8	2.166666667	1.052189983
290729	2	2	4	2	2	3	1	2	-1	-1	-1	-1	-1	-1	-1	5	1	-1	-1	-1	1	2.2	4	1.601783571
290730	2	7	3	2	2	-1	2	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	0.455014607
290731	2	7	2	2	2	5	5	-1	-1	-1	-1	-1	-1	-1	-1	2	1	3	5	4	2	2.8	2.5	0.519165945
290732	2	1	4	2	2	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	2	-1	-1	1.458405639
290733	1	7	4	2	4	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	3	1.4	2.333333333	0.458682693
290734	1	2	1	1	3	2	4	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	2	-1	-1	2.265743436
290735	1	7	3	2	4	2	5	2	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	1.8	3.833333333	0.44042076
290736	1	1	4	2	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	3	2	-1	-1	-1	5	-1	-1	1.804213487
290737	2	5	1	2	3	4	2	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	1.036196477
290738	2	1	4	2	2	-1	5	3	3	2	3	5	3	4	4	1	-1	-1	-1	-1	5	4	4	2.539970493
290739	1	7	2	2	4	-1	3	3	1	5	1	5	5	3	3	4	-1	-1	-1	-1	5	2.8	4.666666667	0.530156122
290740	2	3	1	2	1	-1	1	3	3	2	4	2	2	4	2	1	-1	-1	-1	-1	2	2.6	2.833333333	0.891572519
290741	1	7	1	2	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	8	4	3	3.166666667	0.765403553
290742	1	6	1	1	2	1	5	2	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	-1	-1	1.304440322
290743	1	4	4	2	4	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	1.388060272
290744	1	7	3	2	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	2	2	5	5	2	2	3	5	0.435875628
290745	2	7	2	2	1	-1	1	3	3	2	2	4	2	3	3	2	-1	-1	-1	-1	1	3	3.666666667	1.728946541
290746	2	7	1	2	4	2	3	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	2	3.2	4	1.172848984
290747	1	3	1	1	4	3	1	3	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	4	5	3.4	3.5	1.096626801
290748	1	3	4	2	3	3	4	1	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	1	2	2	4.166666667	0.562800116
290749	2	7	3	2	2	-1	3	3	3	4	2	3	2	3	4	3	-1	-1	-1	-1	1	3.8	3	0.385286604
290750	2	6	2	2	2	-1	1	3	5	1	5	1	1	2	2	1	-1	-1	-1	-1	1	4	2.833333333	0.362201246
290751	1	4	2	2	2	-1	1	3	4	1	4	4	4	4	3	2	-1	-1	-1	-1	1	4	4.333333333	0.490627187
290752	1	5	1	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	2	-1	-1	1.287674811
290753	2	7	1	2	4	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	2	1	1	5	4	8	2	3.166666667	1.049486612
290754	2	2	1	1	2	3	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	5	3	2	2.4	3.166666667	1.192218899
290755	1	7	3	2	4	-1	1	3	3	3	2	4	2	3	3	1	-1	-1	-1	-1	1	2	4.166666667	0.369558621
290756	2	4	1	2	3	2	2	3	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	3	5	4	3.166666667	0.62674439
290757	2	2	1	1	1	-1	1	3	4	2	3	4	2	4	2	3	-1	-1	-1	-1	8	2.8	2.833333333	1.058478297
290758	2	7	2	2	2	4	1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	1	-1	-1	0.57631728
290759	1	5	4	2	1	-1	1	2	5	2	3	2	2	2	2	1	-1	-1	-1	-1	2	2.4	3.5	0.44610413
290760	1	4	1	1	3	4	5	3	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	1	1	2.6	4.666666667	1.510968355
290761	1	6	1	2	2	-1	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	8	-1	-1	0.78739505
290762	1	7	2	2	2	-1	3	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	2.6	3.833333333	0.500672612
290763	2	1	4	2	3	3	5	3	-1	-1	-1	-1	-1	-1	-1	4	1	4	4	4	4	2.2	3.166666667	1.37706758
290764	1	6	1	2	3	-1	2	1	3	3	3	5	4	2	5	1	-1	-1	-1	-1	2	1.8	2.666666667	0.788864776
290765	2	4	1	1	2	2	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	2	2	2.4	4.166666667	1.37205717
290766	1	3	1	1	1	4	3	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	5	4	2	2.4	3.166666667	1.284529686
290767	1	4	1	1	3	-1	5	3	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	2	-1	-1	1.373698212
290768	1	7	3	2	3	-1	4	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	1.2	4.333333333	0.456416859
290769	1	7	1	2	2	4	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	3.2	2.833333333	0.849971234
290770	2	7	3	2	4	5	2	3	-1	-1	-1	-1	-1	-1	-1	4	2	5	5	2	2	3.4	3.5	0.556072022
290771	2	7	3	2	4	5	5	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	3	2	2.4	3.833333333	0.702912872
290772	1	3	4	2	2	-1	8	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	0.709637988
290773	2	5	2	1	3	-1	5	2	1	8	8	5	8	8	8	4	-1	-1	-1	-1	8	4	4	1.326061718
290774	1	4	1	1	2	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	5	4	8	3.2	3.166666667	0.996175027
290775	1	3	1	1	4	5	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	3	5	3	4	2.8	3.5	1.138453335
290776	1	2	4	2	3	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	2.25	2.666666667	0.625909012
290777	2	7	3	2	4	2	5	3	-1	-1	-1	-1	-1	-1	-1	3	2	5	5	2	2	2.4	3.333333333	0.512254076
290778	1	2	4	2	2	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	5	2	-1	-1	-1	5	-1	-1	0.965196875
290779	1	5	1	1	1	-1	5	3	4	2	3	2	1	4	1	2	-1	-1	-1	-1	2	2	2	1.322675173
290780	1	1	4	2	3	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	4	2	4	5	2	2	3	3.333333333	3.585929653
290781	2	7	3	2	4	3	2	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	2	1	2.4	3.666666667	0.618687514
290782	1	7	4	2	1	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	2	2	2	2.666666667	0.695097726
290783	1	7	3	2	2	4	2	2	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	3.4	3.5	0.463175944
290784	2	2	4	1	3	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	4	5	1	5	1.8	3.333333333	0.564595451
290785	2	3	4	2	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	3	1	5	5	4	1	3.4	3.166666667	0.468100618
290786	2	7	3	1	3	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	2	2	2.2	3.5	1.110766939
290787	1	2	1	2	1	-1	2	3	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	3	-1	-1	3.310797888
290788	1	4	4	2	1	-1	1	3	4	1	4	2	2	5	2	3	-1	-1	-1	-1	2	1.8	2.5	0.964035579
290789	1	3	1	2	1	5	4	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	-1	-1	1.265640446
290790	2	3	4	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	2	-1	-1	0.571598936
290792	1	7	1	2	4	-1	8	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	-1	-1	1.348890217
290793	1	5	1	2	1	-1	1	3	4	1	5	2	1	1	1	4	-1	-1	-1	-1	3	1.6	3.666666667	1.044729772
290794	2	3	4	1	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	2	-1	-1	0.455084131
290795	2	2	4	2	2	4	2	-1	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	2	2	2.6	4	1.753005203
290796	2	3	1	2	4	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	4	5	2	2	1.8	3.666666667	0.759181165
290797	2	7	1	2	2	-1	1	2	3	3	2	3	3	3	3	3	-1	-1	-1	-1	5	2.2	3.5	0.927944259
290798	1	7	1	2	1	-1	1	3	2	2	2	2	2	3	2	1	-1	-1	-1	-1	1	2.4	4	0.910465163
290799	2	1	4	2	2	2	4	3	-1	-1	-1	-1	-1	-1	-1	3	1	4	5	2	2	2.2	4	2.859983616
290800	2	2	1	2	1	4	1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	5	9	2	2.4	2.333333333	0.827989719
290801	1	7	2	2	4	2	3	-1	-1	-1	-1	-1	-1	-1	-1	5	1	9	9	1	1	1	4.5	0.764868481
290802	1	7	2	2	4	5	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	3	-1	-1	0.475188213
290803	2	1	4	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	1	5	5	3	6	3	3	2.441338815
290804	2	7	1	2	4	1	5	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	8	1	2	3.5	1.457096395
290805	2	3	1	1	1	2	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	1	4	3.666666667	0.898253916
290806	1	2	1	2	2	4	1	3	-1	-1	-1	-1	-1	-1	-1	4	1	-1	-1	-1	2	2.8	3.666666667	1.046263954
290807	2	3	1	1	1	-1	2	3	3	2	4	2	2	4	3	2	-1	-1	-1	-1	1	3.8	3.166666667	0.877355544
290808	1	7	4	2	2	-1	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	5	5	4	1	2.6	3	0.47945223
290809	2	4	4	1	3	-1	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	-1	-1	-1	2	1.8	4.5	0.879528563
290810	2	2	4	2	1	4	1	3	-1	-1	-1	-1	-1	-1	-1	1	1	3	8	4	2	2	2.166666667	0.559596842
290811	2	2	4	1	2	1	5	3	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	6	-1	-1	0.668306676
290812	2	5	1	2	2	3	1	3	-1	-1	-1	-1	-1	-1	-1	2	1	-1	-1	-1	1	3	4	0.734013205
290813	1	1	4	2	1	5	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	2.2	3.333333333	2.227967587
290814	2	2	4	2	4	2	5	3	-1	-1	-1	-1	-1	-1	-1	4	2	5	5	2	5	2.4	3.666666667	0.650013328
290815	1	6	1	2	3	3	3	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	2	-1	-1	0.973437138
290816	1	5	3	2	1	-1	1	3	3	2	2	2	2	2	2	1	-1	-1	-1	-1	2	2.8	3.166666667	0.531180883
290817	1	1	4	2	3	2	5	2	-1	-1	-1	-1	-1	-1	-1	4	2	5	5	2	2	2.4	4	1.735342643
290818	1	3	1	1	2	3	1	3	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	2.6	3.666666667	1.016043492
290819	1	5	1	2	4	1	4	3	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	5	2.8	3	1.108450074
290820	1	4	2	1	3	-1	5	3	5	2	2	4	4	4	3	4	-1	-1	-1	-1	8	2.8	3.5	1.066574405
290821	2	4	1	1	2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	3	1	1	5	4	1	3.6	4.166666667	0.724519411
290822	1	7	1	2	4	-1	4	2	-1	-1	-1	-1	-1	-1	-1	5	1	9	9	1	4	2	4	0.876163684
290823	1	5	1	2	2	3	4	-1	-1	-1	-1	-1	-1	-1	-1	2	2	5	5	2	1	1.8	3.833333333	1.287674811
290824	2	6	2	2	2	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	1	2	2	2	0.574015852
290825	2	4	2	2	4	-1	3	3	1	1	4	4	1	4	1	4	-1	-1	-1	-1	2	1	4.333333333	0.636574896
290826	2	7	1	2	3	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	2	1	4	5	2	4	2.2	3.333333333	1.364031787
290827	2	7	1	2	8	-1	5	2	-1	-1	-1	-1	-1	-1	-1	3	1	-1	-1	-1	1	2.8	3.833333333	1.278200516
290828	1	2	4	1	2	3	2	-1	-1	-1	-1	-1	-1	-1	-1	5	2	5	5	4	5	2.4	3	2.063469825
